year,region_code,region,exiobase_code,exiobase_category,ef_kgco23_per_mil_euros,ef_kgco2e_per_euro,market
2022,AT,Austria,p24.f,Additives or blending components,547233.59,0.54723359,"EMEA (Europe, the Middle East and Africa)"
2022,BE,Belgium,p24.f,Additives or blending components,869062.1,0.8690621,"EMEA (Europe, the Middle East and Africa)"
2022,BG,Bulgaria,p24.f,Additives or blending components,94312.14,0.09431214,"EMEA (Europe, the Middle East and Africa)"
2022,CY,Cyprus,p24.f,Additives or blending components,657002.56,0.65700256,"EMEA (Europe, the Middle East and Africa)"
2022,CZ,Czech Republic,p24.f,Additives or blending components,1104772.8,1.1047728,"EMEA (Europe, the Middle East and Africa)"
2022,DE,Germany,p24.f,Additives or blending components,717266.73,0.71726673,"EMEA (Europe, the Middle East and Africa)"
2022,DK,Denmark,p24.f,Additives or blending components,453685.64,0.45368564,"EMEA (Europe, the Middle East and Africa)"
2022,EE,Estonia,p24.f,Additives or blending components,3217944.73,3.21794473,"EMEA (Europe, the Middle East and Africa)"
2022,ES,Spain,p24.f,Additives or blending components,952877.46,0.95287746,"EMEA (Europe, the Middle East and Africa)"
2022,FI,Finland,p24.f,Additives or blending components,847683.34,0.84768334,"EMEA (Europe, the Middle East and Africa)"
2022,FR,France,p24.f,Additives or blending components,450771.08,0.45077108,"EMEA (Europe, the Middle East and Africa)"
2022,GR,Greece,p24.f,Additives or blending components,626336.79,0.62633679,"EMEA (Europe, the Middle East and Africa)"
2022,HR,Croatia,p24.f,Additives or blending components,382686.01,0.38268601,"EMEA (Europe, the Middle East and Africa)"
2022,HU,Hungary,p24.f,Additives or blending components,2432365.13,2.43236513,"EMEA (Europe, the Middle East and Africa)"
2022,IE,Ireland,p24.f,Additives or blending components,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,IT,Italy,p24.f,Additives or blending components,876679.13,0.87667913,"EMEA (Europe, the Middle East and Africa)"
2022,LT,Lithuania,p24.f,Additives or blending components,909175.52,0.90917552,"EMEA (Europe, the Middle East and Africa)"
2022,LU,Luxembourg,p24.f,Additives or blending components,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,LV,Latvia,p24.f,Additives or blending components,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,MT,Malta,p24.f,Additives or blending components,0,0,"EMEA (Europe, the Middle East and Africa)"
2022,NL,Netherlands,p24.f,Additives or blending components,1701390.65,1.70139065,"EMEA (Europe, the Middle East and Africa)"
